// INTEL CONFIDENTIAL
//
// Copyright 2025 Intel Corporation.
//
// This software and the related documents are Intel copyrighted materials, and
// your use of them is governed by the express license under which they were
// provided to you ("License"). Unless the License provides otherwise, you may
// not use, modify, copy, publish, distribute, disclose or transmit this software
// or the related documents without Intel's prior written permission.
//
// This software and the related documents are provided as is, with no express or
// implied warranties, other than those that are expressly stated in the License.
//,,,,,,,,,
// File: SHAVEIntrinsics.csv,,,,,,,,,
// Description: This CSV file contains the template from which the SHAVE ISA,,,,,,,,,
// intrinsics or built-ins are synthesised.,,,,,,,,,
,,,,,,,,,
// Intrinsics Table,,,,,,,,,
//FU,OPcode,Suffix,TDSuffix,RetType,#Args,ArgTypes,OtherInfo,Overload,CPUType
// ,,,,,,,,,
// FIELDS:,,,,,,,,,
//   0. Functional unit the instruction belongs to,,,,,,,,,
//   1. Name of the instruction,,,,,,,,,
//   2. Instruction suffix indicating type of instruction,,,,,,,,,
//   3. Optional additional suffix for TD name,,,,,,,,,
//   4. The return type of the instruction,,,,,,,,,
//   5. The number of arguments the instruction takes,,,,,,,,,
//   6. The types of each argument; seperated by '.',,,,,,,,,
//   7. Other,,,,,,,,,
//   8. Overload discriminator - used when the 'Other' column contains 'overload',,,,,,,,,
//   9. CPU type,,,,,,,,,
VAU,ISUBS,i32,,Rv4i32,2,Rv4i32.#u5,,,HasVRF128
VAU,ISUBS,u32,,Rv4u32,2,Rv4u32.#u5,,,HasVRF128
VAU,ISUBS,i16,,Rv8i16,2,Rv8i16.#u5,,,HasVRF128
VAU,ISUBS,u16,,Rv8u16,2,Rv8u16.#u5,,,HasVRF128
VAU,ISUBS,i8,,Rv16i8,2,Rv16i8.#u5,,,HasVRF128
VAU,ISUBS,u8,,Rv16u8,2,Rv16u8.#u5,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.15 VAU.MAC,,,,,,,,
//,,Vector multiply add/subtract accumulate with optional zeroing of the accumulator,,,,,,,
//VAU,MACN,f32,,Rv4f32,3,Rv4f32.Rv4f32.Rv4f32,sideeffects,,
//VAU,MACN,f16,,Rv8f16,3,Rv8f16.Rv8f16.Rv8f16,sideeffects,,
//VAU,MACN,i32,,Rv4i32,3,Rv4i32.Rv4i32.Rv4i32,sideeffects,,
//VAU,MACN,u32,,Rv4u32,3,Rv4u32.Rv4u32.Rv4u32,sideeffects,,
//VAU,MACN,i16,,Rv8i16,3,Rv8i16.Rv8i16.Rv8i16,sideeffects,,
//VAU,MACN,u16,,Rv8u16,3,Rv8u16.Rv8u16.Rv8u16,sideeffects,,
//VAU,MACN,i8,,Rv16i8,3,Rv16i8.Rv16i8.Rv16i8,sideeffects,,
//VAU,MACN,u8,,Rv16u8,3,Rv16u8.Rv16u8.Rv16u8,sideeffects,,
//,,,,,,,,,
//VAU,MACNZ,f32,,Rv4f32,2,Rv4f32.Rv4f32,sideeffects,,
//VAU,MACNZ,f16,,Rv8f16,2,Rv8f16.Rv8f16,sideeffects,,
//VAU,MACNZ,i32,,Rv4i32,2,Rv4i32.Rv4i32,sideeffects,,
//VAU,MACNZ,u32,,Rv4u32,2,Rv4u32.Rv4u32,sideeffects,,
//VAU,MACNZ,i16,,Rv8i16,2,Rv8i16.Rv8i16,sideeffects,,
//VAU,MACNZ,u16,,Rv8u16,2,Rv8u16.Rv8u16,sideeffects,,
//VAU,MACNZ,i8,,Rv16i8,2,Rv16i8.Rv16i8,sideeffects,,
//VAU,MACNZ,u8,,Rv16u8,2,Rv16u8.Rv16u8,sideeffects,,
//,,,,,,,,,
//VAU,MACP,f32,,Rv4f32,3,Rv4f32.Rv4f32.Rv4f32,sideeffects,,
//VAU,MACP,f16,,Rv8f16,3,Rv8f16.Rv8f16.Rv8f16,sideeffects,,
//VAU,MACP,i32,,Rv4i32,3,Rv4i32.Rv4i32.Rv4i32,sideeffects,,
//VAU,MACP,u32,,Rv4u32,3,Rv4u32.Rv4u32.Rv4u32,sideeffects,,
//VAU,MACP,i16,,Rv8i16,3,Rv8i16.Rv8i16.Rv8i16,sideeffects,,
//VAU,MACP,u16,,Rv8u16,3,Rv8u16.Rv8u16.Rv8u16,sideeffects,,
//VAU,MACP,i8,,Rv16i8,3,Rv16i8.Rv16i8.Rv16i8,sideeffects,,
//VAU,MACP,u8,,Rv16u8,3,Rv16u8.Rv16u8.Rv16u8,sideeffects,,
//,,,,,,,,,
//VAU,MACPZ,f32,,Rv4f32,2,Rv4f32.Rv4f32,sideeffects,,
//VAU,MACPZ,f16,,Rv8f16,2,Rv8f16.Rv8f16,sideeffects,,
//VAU,MACPZ,i32,,Rv4i32,2,Rv4i32.Rv4i32,sideeffects,,
//VAU,MACPZ,u32,,Rv4u32,2,Rv4u32.Rv4u32,sideeffects,,
//VAU,MACPZ,i16,,Rv8i16,2,Rv8i16.Rv8i16,sideeffects,,
//VAU,MACPZ,u16,,Rv8u16,2,Rv8u16.Rv8u16,sideeffects,,
//VAU,MACPZ,i8,,Rv16i8,2,Rv16i8.Rv16i8,sideeffects,,
//VAU,MACPZ,u8,,Rv16u8,2,Rv16u8.Rv16u8,sideeffects,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.16 MACNW,,,,,,,,
//,,Vector multiply-subtract accumulate with write to VRF,,,,,,,
//VAU,MACNW,f32,,Rv4f32,3,Rv4f32.Rv4f32.Rv4f32,sideeffects,,
//VAU,MACNW,f16,,Rv8f16,3,Rv8f16.Rv8f16.Rv8f16,sideeffects,,
//VAU,MACNW,i32,,Rv4i32,3,Rv4i32.Rv4i32.Rv4i32,sideeffects,,
//VAU,MACNW,u32,,Rv4u32,3,Rv4u32.Rv4u32.Rv4u32,sideeffects,,
//VAU,MACNW,i16,,Rv8i16,3,Rv8i16.Rv8i16.Rv8i16,sideeffects,,
//VAU,MACNW,u16,,Rv8u16,3,Rv8u16.Rv8u16.Rv8u16,sideeffects,,
//VAU,MACNW,i8,,Rv16i8,3,Rv16i8.Rv16i8.Rv16i8,sideeffects,,
//VAU,MACNW,u8,,Rv16u8,3,Rv16u8.Rv16u8.Rv16u8,sideeffects,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.17 MACPW,,,,,,,,
//,,Vector multiply-add accumulate with write to VRF,,,,,,,
//VAU,MACPW,f32,,Rv4f32,3,Rv4f32.Rv4f32.Rv4f32,sideeffects,,
//VAU,MACPW,f16,,Rv8f16,3,Rv8f16.Rv8f16.Rv8f16,sideeffects,,
//VAU,MACPW,i32,,Rv4i32,3,Rv4i32.Rv4i32.Rv4i32,sideeffects,,
//VAU,MACPW,u32,,Rv4u32,3,Rv4u32.Rv4u32.Rv4u32,sideeffects,,
//VAU,MACPW,i16,,Rv8i16,3,Rv8i16.Rv8i16.Rv8i16,sideeffects,,
//VAU,MACPW,u16,,Rv8u16,3,Rv8u16.Rv8u16.Rv8u16,sideeffects,,
//VAU,MACPW,i8,,Rv16i8,3,Rv16i8.Rv16i8.Rv16i8,sideeffects,,
//VAU,MACPW,u8,,Rv16u8,3,Rv16u8.Rv16u8.Rv16u8,sideeffects,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.18 VAU.MUL,,,,,,,,
//,,Long vector multiplication with optional immediate operand,,,,,,,
VAU,MUL,f32,,Rv4f32,2,Rv4f32.Rv4f32,,,HasVRF128
VAU,MUL,i32,,Rv4i32,2,Rv4i32.Rv4i32,,,HasVRF128
VAU,MUL,f16,,Rv8f16,2,Rv8f16.Rv8f16,,,HasVRF128
VAU,MUL,i16,,Rv8i16,2,Rv8i16.Rv8i16,,,HasVRF128
VAU,MUL,i8,,Rv16i8,2,Rv16i8.Rv16i8,,,HasVRF128
//,,,,,,,,,
VAU,MUL,i32,,Rv4i32,2,Rv4i32.#i5,,,HasVRF128
VAU,MUL,i16,,Rv8i16,2,Rv8i16.#i5,,,HasVRF128
VAU,MUL,i8,,Rv16i8,2,Rv16i8.#i5,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.19 VAU.NOT,,,,,,,,
//,,Bitwise NOT,,,,,,,
VAU,NOT,i32,,Rv4i32,1,Rv4i32,notype,,HasVRF128
VAU,NOT,i16,,Rv8i16,1,Rv8i16,notype,,HasVRF128
VAU,NOT,i8,,Rv16i8,1,Rv16i8,notype,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.20 VAU.OR,,,,,,,,
//,,Bitwise OR,,,,,,,
VAU,OR,32,,Rv4i32,2,Rv4i32.Rv4i32,notype,,HasVRF128
VAU,OR,16,,Rv8i16,2,Rv8i16.Rv8i16,notype,,HasVRF128
VAU,OR,8,,Rv16i8,2,Rv16i8.Rv16i8,notype,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.21 VAU.ROL,,,,,,,,
//,,Vector rotate left,,,,,,,
VAU,ROL,x32,,Rv4i32,2,Rv4i32.Rv4i32,,,HasVRF128
VAU,ROL,x16,,Rv8i16,2,Rv8i16.Rv8i16,,,HasVRF128
VAU,ROL,x8,,Rv16i8,2,Rv16i8.Rv16i8,,,HasVRF128
//,,,,,,,,,
VAU,ROL,x32,,Rv4i32,2,Rv4i32.#u5,,,HasVRF128
VAU,ROL,x16,,Rv8i16,2,Rv8i16.#u5,,,HasVRF128
VAU,ROL,x8,,Rv16i8,2,Rv16i8.#u5,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.22 VAU.SHD,,,,,,,,
//,,Long vector arithmetic shift right with set to zero on underflow. Optional immediate shift amount,,,,,,,
VAU,SHD,i32,,Rv4i32,2,Rv4i32.Rv4i32,,,HasVRF128
VAU,SHD,i16,,Rv8i16,2,Rv8i16.Rv8i16,,,HasVRF128
VAU,SHD,i8,,Rv16i8,2,Rv16i8.Rv16i8,,,HasVRF128
//,,,,,,,,,
VAU,SHD,i32,,Rv4i32,2,Rv4i32.#u5,,,HasVRF128
VAU,SHD,i16,,Rv8i16,2,Rv8i16.#u5,,,HasVRF128
VAU,SHD,i8,,Rv16i8,2,Rv16i8.#u5,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.23 VAU.SHL,,,,,,,,
//,,Long vector logical shift left with optional immediate shift amount,,,,,,,
VAU,SHL,x32,,Rv4u32,2,Rv4u32.Rv4u32,,,HasVRF128
VAU,SHL,x16,,Rv8u16,2,Rv8u16.Rv8u16,,,HasVRF128
VAU,SHL,x8,,Rv16u8,2,Rv16u8.Rv16u8,,,HasVRF128
//,,,,,,,,,
VAU,SHL,x32,,Rv4u32,2,Rv4u32.#u5,,,HasVRF128
VAU,SHL,x16,,Rv8u16,2,Rv8u16.#u5,,,HasVRF128
VAU,SHL,x8,,Rv16u8,2,Rv16u8.#u5,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.24 VAU.SHR,,,,,,,,
//,,Long vector logical/arithmetic shift right with optional immediate shift amount,,,,,,,
VAU,SHR,i32,,Rv4i32,2,Rv4i32.Rv4i32,,,HasVRF128
VAU,SHR,u32,,Rv4u32,2,Rv4u32.Rv4u32,,,HasVRF128
VAU,SHR,i16,,Rv8i16,2,Rv8i16.Rv8i16,,,HasVRF128
VAU,SHR,u16,,Rv8u16,2,Rv8u16.Rv8u16,,,HasVRF128
VAU,SHR,i8,,Rv16i8,2,Rv16i8.Rv16i8,,,HasVRF128
VAU,SHR,u8,,Rv16u8,2,Rv16u8.Rv16u8,,,HasVRF128
//,,,,,,,,,
VAU,SHR,i32,,Rv4i32,2,Rv4i32.#u5,,,HasVRF128
VAU,SHR,u32,,Rv4u32,2,Rv4u32.#u5,,,HasVRF128
VAU,SHR,i16,,Rv8i16,2,Rv8i16.#u5,,,HasVRF128
VAU,SHR,u16,,Rv8u16,2,Rv8u16.#u5,,,HasVRF128
VAU,SHR,i8,,Rv16i8,2,Rv16i8.#u5,,,HasVRF128
VAU,SHR,u8,,Rv16u8,2,Rv16u8.#u5,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.25 VAU.SUB,,,,,,,,
//,,Long vector subtraction with optional immediate operand,,,,,,,
VAU,SUB,f32,,Rv4f32,2,Rv4f32.Rv4f32,,,HasVRF128
VAU,SUB,i32,,Rv4i32,2,Rv4i32.Rv4i32,,,HasVRF128
VAU,SUB,f16,,Rv8f16,2,Rv8f16.Rv8f16,,,HasVRF128
VAU,SUB,i16,,Rv8i16,2,Rv8i16.Rv8i16,,,HasVRF128
VAU,SUB,i8,,Rv16i8,2,Rv16i8.Rv16i8,,,HasVRF128
//,,,,,,,,,
VAU,SUB,i32,,Rv4i32,2,Rv4i32.#u5,,,HasVRF128
VAU,SUB,i16,,Rv8i16,2,Rv8i16.#u5,,,HasVRF128
VAU,SUB,i8,,Rv16i8,2,Rv16i8.#u5,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.27 VAU.XOR,,,,,,,,
//,,Bitwise XOR,,,,,,,
VAU,XOR,32,,Rv4i32,2,Rv4i32.Rv4i32,notype,,HasVRF128
VAU,XOR,16,,Rv8i16,2,Rv8i16.Rv8i16,notype,,HasVRF128
VAU,XOR,8,,Rv16i8,2,Rv16i8.Rv16i8,notype,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.28 VAU.TANH,,,,,,,,
//,,FP16 hyperbolic tangent,,,,,,,
VAU,TANH,v8f16,,Rv8f16,1,Rv8f16,notype,,HasVRF128.HasTranscendentals
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.29 VAU.SIGM,,,,,,,,
//,,FP16 sigmoid,,,,,,,
VAU,SIGM,v8f16,,Rv8f16,1,Rv8f16,notype,,HasVRF128.HasTranscendentals
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.30 VAU.LOG,,,,,,,,
//,,FP16 natural logarithm,,,,,,,
VAU,LOG,v8f16,,Rv8f16,1,Rv8f16,notype,,HasVRF128.HasTranscendentals
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.31 VAU.EXP,,,,,,,,
//,,FP16 exponennal function,,,,,,,
VAU,EXP,v8f16,,Rv8f16,1,Rv8f16,notype,,HasVRF128.HasTranscendentals
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.32 VAU.SQT,,,,,,,,
//,,FP16 square root,,,,,,,
VAU,SQT,v8f16,,Rv8f16,1,Rv8f16,notype,,HasVRF128.HasTranscendentals
,,,,,,,,,
//,,,,,,,,,
//,,,,,,,,,
//,,,,,,,,,
//,==============================================================================================================,,,,,,,,
//,,"SHAVE has no native support for 64-bit vectors, but it can generate more efficient code for 64-bit vectors",,,,,,,
//,,using the native 128-bit instructions when the programmer uses explicit 64-bit vectors.,,,,,,,
//,,,,,,,,,
//,,"In some cases 'moviCompile' has internal support for 64-bit vectors, though not all 128-bit vectors have",,,,,,,
//,,"equivalent 64-bit vector support.  But for those that are supported, the following built-ins provide 64-bit",,,,,,,
//,,type-safe variants of their 128-bit counterparts above,,,,,,,
VAU,ABS,v2f32,,Rv2f32,1,Rv2f32,meta,,HasVRF128
VAU,ABS,v4f16,,Rv4f16,1,Rv4f16,meta,,HasVRF128
//,,,,,,,,,
VAU,ADD,v2f32,,Rv2f32,2,Rv2f32.Rv2f32,meta,,HasVRF128
VAU,ADD,v2i32,,Rv2i32,2,Rv2i32.Rv2i32,meta,,HasVRF128
VAU,ADD,v4f16,,Rv4f16,2,Rv4f16.Rv4f16,meta,,HasVRF128
VAU,ADD,v4i16,,Rv4i16,2,Rv4i16.Rv4i16,meta,,HasVRF128
VAU,ADD,v8i8,,Rv8i8,2,Rv8i8.Rv8i8,meta,,HasVRF128
//,,,,,,,,,
VAU,ADD,i32,v2i32,Rv2i32,2,Rv2i32.#u5,overload.meta,int2,HasVRF128
VAU,ADD,i16,v4i16,Rv4i16,2,Rv4i16.#u5,overload.meta,short4,HasVRF128
VAU,ADD,i8,v8i8,Rv8i8,2,Rv8i8.#u5,overload.meta,schar8,HasVRF128
//,,,,,,,,,
VAU,AND,v2i32,,Rv2u32,2,Rv2u32.Rv2u32,notype.meta,,HasVRF128
VAU,AND,v4i16,,Rv4u16,2,Rv4u16.Rv4u16,notype.meta,,HasVRF128
VAU,AND,v8i8,,Rv8u8,2,Rv8u8.Rv8u8,notype.meta,,HasVRF128
//,,,,,,,,,
VAU,MUL,v2f32,,Rv2f32,2,Rv2f32.Rv2f32,meta,,HasVRF128
VAU,MUL,v2i32,,Rv2i32,2,Rv2i32.Rv2i32,meta,,HasVRF128
VAU,MUL,v4f16,,Rv4f16,2,Rv4f16.Rv4f16,meta,,HasVRF128
VAU,MUL,v4i16,,Rv4i16,2,Rv4i16.Rv4i16,meta,,HasVRF128
VAU,MUL,v8i8,,Rv8i8,2,Rv8i8.Rv8i8,meta,,HasVRF128
//,,,,,,,,,
VAU,MUL,i32,v2i32,Rv2i32,2,Rv2i32.#u5,overload.meta,int2,HasVRF128
VAU,MUL,i16,v4i16,Rv4i16,2,Rv4i16.#u5,overload.meta,short4,HasVRF128
VAU,MUL,i8,v8i8,Rv8i8,2,Rv8i8.#u5,overload.meta,schar8,HasVRF128
//,,,,,,,,,
VAU,NOT,v2i32,,Rv2u32,1,Rv2u32,notype.meta,,HasVRF128
VAU,NOT,v4i16,,Rv4u16,1,Rv4u16,notype.meta,,HasVRF128
VAU,NOT,v8i8,,Rv8u8,1,Rv8u8,notype.meta,,HasVRF128
//,,,,,,,,,
VAU,OR,v2i32,,Rv2u32,2,Rv2u32.Rv2u32,notype.meta,,HasVRF128
VAU,OR,v4i16,,Rv4u16,2,Rv4u16.Rv4u16,notype.meta,,HasVRF128
VAU,OR,v8i8,,Rv8u8,2,Rv8u8.Rv8u8,notype.meta,,HasVRF128
//,,,,,,,,,
VAU,ROL,v2x32,,Rv2i32,2,Rv2i32.Rv2i32,meta,,HasVRF128
VAU,ROL,v4x16,,Rv4i16,2,Rv4i16.Rv4i16,meta,,HasVRF128
VAU,ROL,v8x8,,Rv8i8,2,Rv8i8.Rv8i8,meta,,HasVRF128
//,,,,,,,,,
VAU,ROL,x32,v2x32,Rv2i32,2,Rv2i32.#u5,overload.meta,uint2,HasVRF128
VAU,ROL,x16,v4x16,Rv4i16,2,Rv4i16.#u5,overload.meta,ushort4,HasVRF128
VAU,ROL,x8,v8x8,Rv8i8,2,Rv8i8.#u5,overload.meta,uchar8,HasVRF128
//,,,,,,,,,
VAU,SHD,v2i32,,Rv2i32,2,Rv2i32.Rv2i32,meta,,HasVRF128
VAU,SHD,v4i16,,Rv4i16,2,Rv4i16.Rv4i16,meta,,HasVRF128
VAU,SHD,v8i8,,Rv8i8,2,Rv8i8.Rv8i8,meta,,HasVRF128
//,,,,,,,,,
VAU,SHD,i32,v2i32,Rv2i32,2,Rv2i32.#u5,overload.meta,int2,HasVRF128
VAU,SHD,i16,v4i16,Rv4i16,2,Rv4i16.#u5,overload.meta,short4,HasVRF128
VAU,SHD,i8,v8i8,Rv8i8,2,Rv8i8.#u5,overload.meta,schar8,HasVRF128
//,,,,,,,,,
VAU,SHL,v2x32,,Rv2i32,2,Rv2i32.Rv2i32,meta,,HasVRF128
VAU,SHL,v4x16,,Rv4i16,2,Rv4i16.Rv4i16,meta,,HasVRF128
VAU,SHL,v8x8,,Rv8i8,2,Rv8i8.Rv8i8,meta,,HasVRF128
//,,,,,,,,,
VAU,SHL,x32,v2x32,Rv2i32,2,Rv2i32.#u5,overload.meta,int2,HasVRF128
VAU,SHL,x16,v4x16,Rv4i16,2,Rv4i16.#u5,overload.meta,short4,HasVRF128
VAU,SHL,x8,v8x8,Rv8i8,2,Rv8i8.#u5,overload.meta,schar8,HasVRF128
//,,,,,,,,,
VAU,SHR,v2i32,,Rv2i32,2,Rv2i32.Rv2i32,meta,,HasVRF128
VAU,SHR,v2u32,,Rv2u32,2,Rv2u32.Rv2u32,meta,,HasVRF128
VAU,SHR,v4i16,,Rv4i16,2,Rv4i16.Rv4i16,meta,,HasVRF128
VAU,SHR,v4u16,,Rv4u16,2,Rv4u16.Rv4u16,meta,,HasVRF128
VAU,SHR,v8i8,,Rv8i8,2,Rv8i8.Rv8i8,meta,,HasVRF128
VAU,SHR,v8u8,,Rv8u8,2,Rv8u8.Rv8u8,meta,,HasVRF128
//,,,,,,,,,
VAU,SHR,i32,v2i32,Rv2i32,2,Rv2i32.#u5,overload.meta,int2,HasVRF128
VAU,SHR,u32,v2u32,Rv2u32,2,Rv2u32.#u5,overload.meta,int2,HasVRF128
VAU,SHR,i16,v4i16,Rv4i16,2,Rv4i16.#u5,overload.meta,short4,HasVRF128
VAU,SHR,u16,v4u16,Rv4u16,2,Rv4u16.#u5,overload.meta,short4,HasVRF128
VAU,SHR,i8,v8i8,Rv8i8,2,Rv8i8.#u5,overload.meta,schar8,HasVRF128
VAU,SHR,u8,v8u8,Rv8u8,2,Rv8u8.#u5,overload.meta,schar8,HasVRF128
//,,,,,,,,,
VAU,SUB,v2f32,,Rv2f32,2,Rv2f32.Rv2f32,meta,,HasVRF128
VAU,SUB,v2i32,,Rv2i32,2,Rv2i32.Rv2i32,meta,,HasVRF128
VAU,SUB,v4f16,,Rv4f16,2,Rv4f16.Rv4f16,meta,,HasVRF128
VAU,SUB,v4i16,,Rv4i16,2,Rv4i16.Rv4i16,meta,,HasVRF128
VAU,SUB,v8i8,,Rv8i8,2,Rv8i8.Rv8i8,meta,,HasVRF128
//,,,,,,,,,
VAU,SUB,i32,v2i32,Rv2i32,2,Rv2i32.#u5,overload.meta,int2,HasVRF128
VAU,SUB,i16,v4i16,Rv4i16,2,Rv4i16.#u5,overload.meta,short4,HasVRF128
VAU,SUB,i8,v8i8,Rv8i8,2,Rv8i8.#u5,overload.meta,schar8,HasVRF128
//,,,,,,,,,
VAU,XOR,v2i32,,Rv2u32,2,Rv2u32.Rv2u32,notype.meta,,HasVRF128
VAU,XOR,v4i16,,Rv4u16,2,Rv4u16.Rv4u16,notype.meta,,HasVRF128
VAU,XOR,v8i8,,Rv8u8,2,Rv8u8.Rv8u8,notype.meta,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,,,,,,,,,
//,,,,,,,,,
//,==============================================================================================================,,,,,,,,
//,,,,,,,,
//,,Builtins available on SHAVE512 only,,,,,,,
//,,,,,,,,,
,,,,,,,,,
//,,,,,,,,,
//,,,,,,,,,
//,=========================================,,,,,,,,
//,CMU Instructions,,,,,,,,
//,=========================================,,,,,,,,
,,,,,,,,,
//,,,,,,,,,
//,CMU.ALIGNVEC,,,,,,,,
//,,,,,,,,,
CMU,ALIGNVEC,,,Rv16f32,3,Rv16f32.Rv16f32.#i6,notype.overload,float16,HasVRF512
CMU,ALIGNVEC,,,Rv32f16,3,Rv32f16.Rv32f16.#i6,notype.overload,half32,HasVRF512
CMU,ALIGNVEC,,,Rv16i32,3,Rv16i32.Rv16i32.#i6,notype.overload,int16,HasVRF512
CMU,ALIGNVEC,,,Rv32i16,3,Rv32i16.Rv32i16.#i6,notype.overload,short32,HasVRF512
CMU,ALIGNVEC,,,Rv64i8,3,Rv64i8.Rv64i8.#i6,notype.overload,char64,HasVRF512
,,,,,,,,,
//,,,,,,,,,
//,CMU.CLAMP,,,,,,,,
//,,,,,,,,,
CMU,CLAMP,f32,v16f32,Rv16f32,2,Rv16f32.Rv16f32,overload,float16,HasVRF512
CMU,CLAMP,f16,v32f16,Rv32f16,2,Rv32f16.Rv32f16,overload,half32,HasVRF512
CMU,CLAMP,i32,v16i32,Rv16i32,2,Rv16i32.Rv16i32,overload,int16,HasVRF512
CMU,CLAMP,i16,v32i16,Rv32i16,2,Rv32i16.Rv32i16,overload,short32,HasVRF512
CMU,CLAMP,i8,v64i8,Rv64i8,2,Rv64i8.Rv64i8,overload,char64,HasVRF512
//,,,,,,,,,
CMU,CLAMP0,f32,v16f32,Rv16f32,2,Rv16f32.Rv16f32,overload,float16,HasVRF512
CMU,CLAMP0,f16,v32f16,Rv32f16,2,Rv32f16.Rv32f16,overload,half32,HasVRF512
CMU,CLAMP0,i32,v16i32,Rv16i32,2,Rv16i32.Rv16i32,overload,int16,HasVRF512
CMU,CLAMP0,i16,v32i16,Rv32i16,2,Rv32i16.Rv32i16,overload,short32,HasVRF512
CMU,CLAMP0,i8,v64i8,Rv64i8,2,Rv64i8.Rv64i8,overload,char64,HasVRF512
,,,,,,,,,
//,,,,,,,,,
//,CMU.CLAMPAB,,,,,,,,
//,,,,,,,,,
CMU,CLAMPAB,f32,v16f32,Rv16f32,3,Rv16f32.Rv16f32.Rv16f32,srcdst.overload,float16,HasVRF512
CMU,CLAMPAB,f16,v32f16,Rv32f16,3,Rv32f16.Rv32f16.Rv32f16,srcdst.overload,half32,HasVRF512
CMU,CLAMPAB,i32,v16i32,Rv16i32,3,Rv16i32.Rv16i32.Rv16i32,srcdst.overload,int16,HasVRF512
CMU,CLAMPAB,u32,v16u32,Rv16u32,3,Rv16u32.Rv16u32.Rv16u32,srcdst.overload,uint16,HasVRF512
CMU,CLAMPAB,i16,v32i16,Rv32i16,3,Rv32i16.Rv32i16.Rv32i16,srcdst.overload,short32,HasVRF512
CMU,CLAMPAB,u16,v32u16,Rv32u16,3,Rv32u16.Rv32u16.Rv32u16,srcdst.overload,ushort32,HasVRF512
CMU,CLAMPAB,i8,v64i8,Rv64i8,3,Rv64i8.Rv64i8.Rv64i8,srcdst.overload,char64,HasVRF512
CMU,CLAMPAB,u8,v64u8,Rv64u8,3,Rv64u8.Rv64u8.Rv64u8,srcdst.overload,uchar64,HasVRF512
,,,,,,,,,
//,,,,,,,,,
//,CMU.MAX,,,,,,,,
//,,,,,,,,,
CMU,MAX,f32,v16f32,Rv16f32,2,Rv16f32.Rv16f32,overload,float16,HasVRF512
CMU,MAX,f16,v32f16,Rv32f16,2,Rv32f16.Rv32f16,overload,half32,HasVRF512
CMU,MAX,i32,v16i32,Rv16i32,2,Rv16i32.Rv16i32,overload,int16,HasVRF512
CMU,MAX,u32,v16u32,Rv16u32,2,Rv16u32.Rv16u32,overload,uint16,HasVRF512
CMU,MAX,i16,v32i16,Rv32i16,2,Rv32i16.Rv32i16,overload,short32,HasVRF512
CMU,MAX,u16,v32u16,Rv32u16,2,Rv32u16.Rv32u16,overload,ushort32,HasVRF512
CMU,MAX,i8,v64i8,Rv64i8,2,Rv64i8.Rv64i8,overload,char64,HasVRF512
CMU,MAX,u8,v64u8,Rv64u8,2,Rv64u8.Rv64u8,overload,uchar64,HasVRF512
,,,,,,,,,
//,,,,,,,,,
//,CMU.MIN,,,,,,,,
//,,,,,,,,,
CMU,MIN,f32,v16f32,Rv16f32,2,Rv16f32.Rv16f32,overload,float16,HasVRF512
CMU,MIN,f16,v32f16,Rv32f16,2,Rv32f16.Rv32f16,overload,half32,HasVRF512
CMU,MIN,i32,v16i32,Rv16i32,2,Rv16i32.Rv16i32,overload,int16,HasVRF512
CMU,MIN,u32,v16u32,Rv16u32,2,Rv16u32.Rv16u32,overload,uint16,HasVRF512
CMU,MIN,i16,v32i16,Rv32i16,2,Rv32i16.Rv32i16,overload,short32,HasVRF512
CMU,MIN,u16,v32u16,Rv32u16,2,Rv32u16.Rv32u16,overload,ushort32,HasVRF512
CMU,MIN,i8,v64i8,Rv64i8,2,Rv64i8.Rv64i8,overload,char64,HasVRF512
CMU,MIN,u8,v64u8,Rv64u8,2,Rv64u8.Rv64u8,overload,uchar64,HasVRF512
,,,,,,,,,
//,,,,,,,,,
//,CMU.SHIV,,,,,,,,
//,,,,,,,,,
CMU,SHLIV,x32,,Rv16i32,2,Rv16i32.Ri32,overload,int16,HasVRF512
CMU,SHLIV,x16,,Rv32i16,2,Rv32i16.Ri16,overload,short32,HasVRF512
CMU,SHLIV,x8,,Rv64i8,2,Rv64i8.Ri8,overload,char64,HasVRF512
,,,,,,,,,
