// INTEL CONFIDENTIAL
//
// Copyright 2025 Intel Corporation.
//
// This software and the related documents are Intel copyrighted materials, and
// your use of them is governed by the express license under which they were
// provided to you ("License"). Unless the License provides otherwise, you may
// not use, modify, copy, publish, distribute, disclose or transmit this software
// or the related documents without Intel's prior written permission.
//
// This software and the related documents are provided as is, with no express or
// implied warranties, other than those that are expressly stated in the License.
//,,,,,,,,,
// File: SHAVEIntrinsics.csv,,,,,,,,,
// Description: This CSV file contains the template from which the SHAVE ISA,,,,,,,,,
// intrinsics or built-ins are synthesised.,,,,,,,,,
,,,,,,,,,
// Intrinsics Table,,,,,,,,,
//FU,OPcode,Suffix,TDSuffix,RetType,#Args,ArgTypes,OtherInfo,Overload,CPUType
// ,,,,,,,,,
// FIELDS:,,,,,,,,,
//   0. Functional unit the instruction belongs to,,,,,,,,,
//   1. Name of the instruction,,,,,,,,,
//   2. Instruction suffix indicating type of instruction,,,,,,,,,
//   3. Optional additional suffix for TD name,,,,,,,,,
//   4. The return type of the instruction,,,,,,,,,
//   5. The number of arguments the instruction takes,,,,,,,,,
//   6. The types of each argument; seperated by '.',,,,,,,,,
//   7. Other,,,,,,,,,
//   8. Overload discriminator - used when the 'Other' column contains 'overload',,,,,,,,,
//   9. CPU type,,,,,,,,,
CMU,MAX,i8,v16i8,Rv16i8,2,Rv16i8.Rv16i8,overload,char16,HasVRF128
CMU,MAX,u8,v16u8,Rv16u8,2,Rv16u8.Rv16u8,overload,uchar16,HasVRF128
CMU,MAX,f32,,Rf32,2,Rf32.Rf32,overload,float,
CMU,MAX,f16,,Rf16,2,Rf16.Rf16,overload,half,
CMU,MAX,i32,,Ri32,2,Ri32.Ri32,overload,int,
CMU,MAX,u32,,Ru32,2,Ru32.Ru32,overload,uint,
CMU,MAX,i16,,Ri16,2,Ri16.Ri16,overload,short,
CMU,MAX,u16,,Ru16,2,Ru16.Ru16,overload,ushort,
CMU,MAX,i8,,Ri8,2,Ri8.Ri8,overload,char,
CMU,MAX,u8,,Ru8,2,Ru8.Ru8,overload,uchar,
,,,,,,,,,
//,,,,,,,,,
//,1.6.4.23 CMU.MIN,,,,,,,,
//,,Minimum,,,,,,,
CMU,MIN,f32,v4f32,Rv4f32,2,Rv4f32.Rv4f32,overload,float4,HasVRF128
CMU,MIN,f16,v8f16,Rv8f16,2,Rv8f16.Rv8f16,overload,half8,HasVRF128
CMU,MIN,i32,v4i32,Rv4i32,2,Rv4i32.Rv4i32,overload,int4,HasVRF128
CMU,MIN,u32,v4u32,Rv4u32,2,Rv4u32.Rv4u32,overload,uint4,HasVRF128
CMU,MIN,i16,v8i16,Rv8i16,2,Rv8i16.Rv8i16,overload,short8,HasVRF128
CMU,MIN,u16,v8u16,Rv8u16,2,Rv8u16.Rv8u16,overload,ushort8,HasVRF128
CMU,MIN,i8,v16i8,Rv16i8,2,Rv16i8.Rv16i8,overload,char16,HasVRF128
CMU,MIN,u8,v16u8,Rv16u8,2,Rv16u8.Rv16u8,overload,uchar16,HasVRF128
CMU,MIN,f32,,Rf32,2,Rf32.Rf32,overload,float,
CMU,MIN,f16,,Rf16,2,Rf16.Rf16,overload,half,
CMU,MIN,i32,,Ri32,2,Ri32.Ri32,overload,int,
CMU,MIN,u32,,Ru32,2,Ru32.Ru32,overload,uint,
CMU,MIN,i16,,Ri16,2,Ri16.Ri16,overload,short,
CMU,MIN,u16,,Ru16,2,Ru16.Ru16,overload,ushort,
CMU,MIN,i8,,Ri8,2,Ri8.Ri8,overload,char,
CMU,MIN,u8,,Ru8,2,Ru8.Ru8,overload,uchar,
,,,,,,,,,
//,,,,,,,,,
//,1.6.4.24 CMU.SHIV,,,,,,,,
//,,Shift IRF left or right into VRF,,,,,,,
CMU,SHLIV,x32,,Rv4i32,2,Rv4i32.Ri32,,,HasVRF128
CMU,SHLIV,x16,,Rv8i16,2,Rv8i16.Ri16,,,HasVRF128
CMU,SHLIV,x8,,Rv16i8,2,Rv16i8.Ri8,,,HasVRF128
,,,,,,,,,
CMU,SHRIV,x32,,Rv4i32,2,Rv4i32.Ri32,,,HasVRF128
CMU,SHRIV,x16,,Rv8i16,2,Rv8i16.Ri16,,,HasVRF128
CMU,SHRIV,x8,,Rv16i8,2,Rv16i8.Ri8,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.4.27 CMU.VNZ,,,,,,,,
//,,Generate IRF mask from VRF contents,,,,,,,
CMU,VNZ,x32,,Rv4u8,3,Rv4i32.Rv4u8.#u2,overload,int4,HasVRF128
CMU,VNZ,x32,,Rv4u8,3,Rv4u32.Rv4u8.#u2,overload,uint4,HasVRF128
CMU,VNZ,x16,,Rv4u8,3,Rv8i16.Rv4u8.#u2,overload,short8,HasVRF128
CMU,VNZ,x16,,Rv4u8,3,Rv8u16.Rv4u8.#u2,overload,ushort8,HasVRF128
CMU,VNZ,x8,,Rv2u16,3,Rv16i8.Rv2u16.#u2,overload,char16,HasVRF128
CMU,VNZ,x8,,Rv2u16,3,Rv16u8.Rv2u16.#u2,overload,uchar16,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.4.29 CMU.VSZM,,,,,,,,
//,,Byte/Word swizzle with optional write disable and optional zeroing,,,,,,,
//,,The 4 immediate operands are enumerates and differ from the ISA document in the following ways:,,,,,,,
//,,,the value 0 implies 'Z' meaning Zero,,,,,,
//,,,the value 1 implies 'D' meaning Disable,,,,,,
//,,,the value 4 implies '0' meaning Select Lane #0,,,,,,
//,,,the value 5 implies '1' meaning Select Lane #1,,,,,,
//,,,the value 6 implies '2' meaning Select Lane #2,,,,,,
//,,,the value 7 implies '3' meaning Select Lane #3,,,,,,
//,,,element number increases from left to right,,,,,,
CMU,VSZMWORD,,vrf,Rv4i32,5,Rv4i32.#i3.#i3.#i3.#i3,overload,int4,HasVRF128
CMU,VSZMWORD,,vrf,Rv4f32,5,Rv4f32.#i3.#i3.#i3.#i3,overload,float4,HasVRF128
CMU,VSZMWORD,,vrf,Rv8i16,5,Rv8i16.#i3.#i3.#i3.#i3,overload,short8,HasVRF128
CMU,VSZMWORD,,vrf,Rv16i8,5,Rv16i8.#i3.#i3.#i3.#i3,overload,char16,HasVRF128
CMU,VSZMBYTE,,vrf,Rv4i32,5,Rv4i32.#i3.#i3.#i3.#i3,overload,int4,HasVRF128
CMU,VSZMBYTE,,vrf,Rv8i16,5,Rv8i16.#i3.#i3.#i3.#i3,overload,short8,HasVRF128
CMU,VSZMBYTE,,vrf,Rv16i8,5,Rv16i8.#i3.#i3.#i3.#i3,overload,char16,HasVRF128
,,,,,,,,,
CMU,EXPAND,x8,,Rv64i8,2,Rv64i8.Ri64,overload,char64,HasVRF512
CMU,NDEXPAND,x8,,Rv64i8,2,Rv64i8.Ri64,overload,char64,HasVRF512
CMU,EXPAND,x16,,Rv32i16,2,Rv32i16.Ri32,overload,short32,HasVRF512
CMU,NDEXPAND,x16,,Rv32i16,2,Rv32i16.Ri32,overload,short32,HasVRF512
CMU,EXPAND,x32,,Rv16i32,2,Rv16i32.Ri32,overload,int16,HasVRF512
CMU,NDEXPAND,x32,,Rv16i32,2,Rv16i32.Ri32,overload,int16,HasVRF512
CMU,EXPAND,x16,,Rv32f16,2,Rv32f16.Ri32,overload,half32,HasVRF512
CMU,NDEXPAND,x16,,Rv32f16,2,Rv32f16.Ri32,overload,half32,HasVRF512
